"","ID","SampType","MG_result"
"1","547","QB",NA
"2","548","QB",NA
"3","549","BC","1"
"4","1001","QB",NA
"5","1002","QB",NA
"6","701","QB",NA
"7","712","QB",NA
"8","702","QB",NA
"9","714","QB",NA
"10","1004","QB",NA
"11","703","QB",NA
"12","705","QB",NA
"13","710","QB",NA
"14","709","QB",NA
"15","1003","QB",NA
"16","708","QB",NA
"17","713","QB",NA
"18","711","QB",NA
"19","704","QB",NA
"20","706","QB",NA
"21","707","QB",NA
"22","895","QB",NA
"23","587","QB",NA
"24","588","QB",NA
"25","586","QB",NA
"26","894","QB",NA
"27","571","QB",NA
"28","892","QB",NA
"29","564","QB",NA
"30","562","QB",NA
"31","570","QB",NA
"32","569","QB",NA
"33","565","QB",NA
"34","561","QB",NA
"35","566","QB",NA
"36","563","QB",NA
"37","568","QB",NA
"38","567","QB",NA
"39","1000073","QB",NA
"40","1000070","QB",NA
"41","1000069","QB",NA
"42","1000072","QB",NA
"43","1000071","QB",NA
"44","1026","QB",NA
"45","480","QB",NA
"46","1025","QB",NA
"47","1023","QB",NA
"48","1028","QB",NA
"49","1027","QB",NA
"50","1024","QB",NA
"51","409","BC","1"
"52","410","BC","1"
"53","416","BC","0"
"54","415","QB",NA
"55","417","BC","0"
"56","414","BC","1"
"57","408","BC","1"
"58","469","BC","0"
"59","412","BC","0"
"60","471","QB",NA
"61","413","BC","0"
"62","468","BC",NA
"63","411","WB","0"
"64","470","BC",NA
"65","407","QB",NA
"66","363","BC","1"
"67","523","BC","0"
"68","522","BC","1"
"69","1618","BC","1"
"70","362","BC","1"
"71","1615","BC","0"
"72","843","BC",NA
"73","844","BC","1"
"74","524","BC","0"
"75","1617","BC","0"
"76","1614","BC","0"
"77","356","BC","0"
"78","355","BC","1"
"79","1302","BC","1"
"80","842","BC","0"
"81","358","BC","1"
"82","357","BC","1"
"83","361","BC","1"
"84","359","BC","1"
"85","1616","BC","0"
"86","360","BC","1"
"87","1301","QB",NA
"88","354","BC","1"
"89","841","BC","0"
"90","254","BC","1"
"91","258","BC","1"
"92","260","BC","0"
"93","261","BC","1"
"94","283","BC","1"
"95","34","BC","1"
"96","256","BC","1"
"97","265","BC","1"
"98","148","BC","0"
"99","141","BC","1"
"100","1501","BC","1"
"101","1502","BC","1"
"102","147","BC","0"
"103","144","BC",NA
"104","142","BC","1"
"105","1042","QB",NA
"106","1043","QB",NA
"107","1047","QB",NA
"108","1040","QB",NA
"109","1045","QB",NA
"110","1044","QB",NA
"111","1041","QB",NA
"112","1048","QB",NA
"113","1046","QB",NA
"114","10271","QB",NA
"115","10270","QB",NA
"116","971","QB",NA
"117","972","QB",NA
"118","973","QB",NA
"119","965","QB",NA
"120","966","QB",NA
"121","967","QB",NA
"122","968","QB",NA
"123","969","QB",NA
"124","970","QB",NA
"125","1439","QB",NA
"126","1438","QB",NA
"127","1049","QB",NA
"128","1050","QB",NA
"129","1436","QB",NA
"130","1431","QB",NA
"131","1435","QB",NA
"132","1433","QB",NA
"133","1437","QB",NA
"134","1432","QB",NA
"135","1434","QB",NA
"136","446","QB",NA
"137","1251","BC","1"
"138","754","QB",NA
"139","1557","BC",NA
"140","445","QB",NA
"141","1552","QB",NA
"142","443","QB",NA
"143","1556","BC",NA
"144","1551","QB",NA
"145","1258","BC","1"
"146","1555","BC","1"
"147","1560","BC","1"
"148","444","BC","1"
"149","1252","QB",NA
"150","752","QB",NA
"151","1554","BC","1"
"152","448","BC","1"
"153","1253","BC","0"
"154","1558","BC","1"
"155","1559","BC","0"
"156","447","BC","1"
"157","751","QB",NA
"158","1257","BC","1"
"159","1254","BC",NA
"160","1256","BC","1"
"161","1553","QB",NA
"162","450","QB",NA
"163","1255","BC","1"
"164","475","BC","0"
"165","474","BC","1"
"166","831","QB",NA
"167","833","BC","1"
"168","834","BC",NA
"169","835","BC","1"
"170","832","BC","1"
"171","836","BC","1"
"172","10257","QB",NA
"173","10258","QB",NA
"174","10260","QB",NA
"175","10261","QB",NA
"176","10265","QB",NA
"177","10263","QB",NA
"178","10259","QB",NA
"179","10269","QB",NA
"180","1031","QB",NA
"181","10262","QB",NA
"182","1033","QB",NA
"183","10268","QB",NA
"184","10264","QB",NA
"185","10267","QB",NA
"186","1032","QB",NA
"187","10266","QB",NA
"188","472","QB",NA
"189","426","QB",NA
"190","427","BC","0"
"191","429","QB",NA
"192","433","BM",NA
"193","430","QB",NA
"194","386","BC","1"
"195","473","QB",NA
"196","432","QB",NA
"197","425","QB",NA
"198","428","QB",NA
"199","431","QB",NA
"200","127","BC",NA
"201","128","BC","1"
"202","129","WB",NA
"203","126","WB",NA
"204","418","BC","1"
"205","420","BC","0"
"206","419","QB",NA
"207","423","BC","1"
"208","421","BC","1"
"209","422","QB",NA
"210","1007","QB",NA
"211","545","BC","0"
"212","1009","QB",NA
"213","532","BC","0"
"214","536","BC","1"
"215","1008","QB",NA
"216","546","BC","1"
"217","1005","QB",NA
"218","535","BC","0"
"219","1006","QB",NA
"220","249","QB",NA
"221","1455","QB",NA
"222","1454","QB",NA
"223","247","QB",NA
"224","1453","QB",NA
"225","250","QB",NA
"226","246","QB",NA
"227","1451","QB",NA
"228","458","QB",NA
"229","243","QB",NA
"230","726","QB",NA
"231","245","QB",NA
"232","248","QB",NA
"233","1452","QB",NA
"234","241","QB",NA
"235","839","BC","0"
"236","515","BC","1"
"237","838","BC","1"
"238","516","BC","1"
"239","840","BC","1"
"240","638","BC","0"
"241","642","QB",NA
"242","640","BC","0"
"243","641","BC","0"
"244","636","BC","0"
"245","639","BC",NA
"246","643","QB",NA
"247","644","BC","1"
"248","646","BC","1"
"249","637","BC","0"
"250","645","BC","0"
"251","647","BC","0"
"252","385","BC","1"
"253","455","BC","1"
"254","456","BC","1"
"255","381","BC","0"
"256","457","BC","1"
"257","378","BC","1"
"258","384","BC","1"
"259","383","BC","1"
"260","380","BC","1"
"261","454","BC","1"
"262","379","BC","0"
"263","382","BC","1"
"264","664","QB",NA
"265","678","QB",NA
"266","661","QB",NA
"267","665","QB",NA
"268","674","QB",NA
"269","658","QB",NA
"270","677","QB",NA
"271","675","QB",NA
"272","216","QB",NA
"273","218","QB",NA
"274","232","QB",NA
"275","214","QB",NA
"276","231","QB",NA
"277","228","QB",NA
"278","215","QB",NA
"279","217","QB",NA
"280","225","QB",NA
"281","219","QB",NA
"282","233","QB",NA
"283","227","QB",NA
"284","212","QB",NA
"285","213","QB",NA
"286","226","QB",NA
"287","26","BC","1"
"288","286","BC","1"
"289","682","QB",NA
"290","990","QB",NA
"291","987","QB",NA
"292","681","QB",NA
"293","688","QB",NA
"294","991","QB",NA
"295","988","QB",NA
"296","989","QB",NA
"297","985","QB",NA
"298","684","QB",NA
"299","986","QB",NA
"300","686","QB",NA
"301","683","QB",NA
"302","984","QB",NA
"303","685","QB",NA
"304","982","QB",NA
"305","687","QB",NA
"306","981","QB",NA
"307","983","QB",NA
"308","467","BC",NA
"309","466","BC","1"
"310","460","BC","0"
"311","464","BC","1"
"312","465","BC","1"
"313","462","BC","0"
"314","463","BC","0"
"315","461","BC",NA
"316","18","BC","1"
"317","17","BC","1"
"318","10374","BC","1"
"319","10371","BC","1"
"320","10372","BC","1"
"321","15","BC","1"
"322","10375","BC","1"
"323","16","BC","1"
"324","10370","BC","1"
"325","10373","BC","1"
"326","10369","BC","1"
"327","10368","BC","1"
"328","572","QB",NA
"329","992","QB",NA
"330","689","QB",NA
"331","580","QB",NA
"332","577","QB",NA
"333","690","QB",NA
"334","994","QB",NA
"335","578","QB",NA
"336","993","QB",NA
"337","576","QB",NA
"338","697","QB",NA
"339","695","QB",NA
"340","1412","QB",NA
"341","1419","QB",NA
"342","1418","QB",NA
"343","1415","QB",NA
"344","696","QB",NA
"345","1417","QB",NA
"346","1414","QB",NA
"347","946","QB",NA
"348","947","QB",NA
"349","945","QB",NA
"350","1416","QB",NA
"351","949","QB",NA
"352","950","QB",NA
"353","1413","QB",NA
"354","948","QB",NA
"355","942","QB",NA
"356","997","QB",NA
"357","998","QB",NA
"358","573","QB",NA
"359","692","QB",NA
"360","938","QB",NA
"361","999","QB",NA
"362","694","QB",NA
"363","940","QB",NA
"364","937","QB",NA
"365","936","QB",NA
"366","944","QB",NA
"367","943","QB",NA
"368","941","QB",NA
"369","939","QB",NA
"370","635","QB",NA
"371","1000","QB",NA
"372","693","QB",NA
"373","691","QB",NA
"374","4","BC","1"
"375","251","BC","1"
"376","6","BC","1"
"377","5","BC","1"
"378","7","BC","1"
"379","100","BC","1"
"380","3","BC","1"
"381","8","BC","1"
"382","10366","BC","1"
"383","10365","BC","1"
"384","10383","BC","1"
"385","10362","BC","1"
"386","10352","BC","0"
"387","10376","BC","0"
"388","10364","BC","1"
"389","11","BC","1"
"390","9","BC","1"
"391","10361","BC","1"
"392","10367","BC","1"
"393","10363","BC","1"
"394","12","BC","1"
"395","10355","BC","1"
"396","10354","BC","1"
"397","10","BC","1"
"398","10353","BC","1"
"399","826","BC","1"
"400","837","BC",NA
"401","1561","BC","0"
"402","849","BC",NA
"403","1564","BC",NA
"404","1563","BC","0"
"405","850","BC","0"
"406","847","BC","1"
"407","907","QB",NA
"408","903","BC","1"
"409","904","QB",NA
"410","845","BC","1"
"411","902","BC",NA
"412","1562","BC","1"
"413","848","BC","1"
"414","1565","BC","1"
"415","905","QB",NA
"416","901","BC","1"
"417","906","BC","1"
"418","575","BC","1"
"419","574","BC","1"
"420","846","BC","1"
"421","1444","QB",NA
"422","1445","QB",NA
"423","174","QB",NA
"424","172","QB",NA
"425","171","QB",NA
"426","173","QB",NA
"427","625","QB",NA
"428","925","QB",NA
"429","633","QB",NA
"430","634","QB",NA
"431","626","QB",NA
"432","617","QB",NA
"433","911","QB",NA
"434","618","QB",NA
"435","616","QB",NA
"436","619","QB",NA
"437","1620","QB",NA
"438","1619","QB",NA
"439","1622","QB",NA
"440","1628","QB",NA
"441","1621","QB",NA
"442","1627","QB",NA
"443","1304","QB",NA
"444","1623","QB",NA
"445","1624","QB",NA
"446","1625","QB",NA
"447","1626","QB",NA
"448","353","BC","1"
"449","352","BC","1"
"450","1206","QB",NA
"451","1205","QB",NA
"452","1203","QB",NA
"453","1208","QB",NA
"454","1204","QB",NA
"455","1201","QB",NA
"456","1202","QB",NA
"457","1207","QB",NA
"458","156","BC","0"
"459","155","BC","0"
"460","824","BC","1"
"461","827","BC","1"
"462","825","BC",NA
"463","157","BC","0"
"464","178","QB",NA
"465","175","QB",NA
"466","176","QB",NA
"467","436","BC","0"
"468","441","BC","1"
"469","434","BC",NA
"470","440","BC","1"
"471","435","BC","1"
"472","438","QB",NA
"473","439","BC","1"
"474","437","BC","1"
"475","442","BC","1"
"476","449","BC",NA
"477","1010","QB",NA
"478","1011","QB",NA
"479","719","QB",NA
"480","716","QB",NA
"481","720","QB",NA
"482","718","QB",NA
"483","717","QB",NA
"484","376","WB","1"
"485","377","WB","1"
"486","132","QB",NA
"487","133","WB","1"
"488","375","WB",NA
"489","1021","QB",NA
"490","723","QB",NA
"491","1018","QB",NA
"492","1012","QB",NA
"493","722","QB",NA
"494","721","QB",NA
"495","1016","QB",NA
"496","1022","QB",NA
"497","1019","QB",NA
"498","1014","QB",NA
"499","1015","QB",NA
"500","1020","QB",NA
"501","1017","QB",NA
"502","1013","QB",NA
"503","782","QB",NA
"504","167","QB",NA
"505","140","QB",NA
"506","1110","QB",NA
"507","787","QB",NA
"508","166","QB",NA
"509","139","QB",NA
"510","785","QB",NA
"511","783","QB",NA
"512","784","QB",NA
"513","786","QB",NA
"514","391","BC","1"
"515","459","BC",NA
"516","396","BC","0"
"517","389","BC","1"
"518","388","BC","1"
"519","1525","BC","1"
"520","1523","BC","1"
"521","387","BC","0"
"522","1521","BC",NA
"523","394","BC","1"
"524","395","BC","1"
"525","393","BC","0"
"526","1136","BC","1"
"527","397","BC","1"
"528","1524","BC",NA
"529","1522","BC","1"
"530","392","BC","1"
"531","390","BC","0"
"532","10255","QB",NA
"533","1000079","QB",NA
"534","1000075","QB",NA
"535","10256","QB",NA
"536","10253","QB",NA
"537","10251","QB",NA
"538","1000076","QB",NA
"539","10252","QB",NA
"540","1000074","QB",NA
"541","10254","QB",NA
"542","372","BC","1"
"543","374","BC","1"
"544","370","BC","1"
"545","369","BC","1"
"546","371","BC","0"
"547","351","BC","1"
"548","365","BC","1"
"549","14","BC","1"
"550","373","BC","0"
"551","367","BC","1"
"552","368","BC","0"
"553","364","BC","1"
"554","13","BC","1"
"555","366","BC","1"
"556","21","BC","1"
"557","266","BC","1"
"558","275","BC","1"
"559","24","BC","1"
"560","25","BC","1"
"561","272","BC",NA
"562","23","BC","1"
"563","280","BC","1"
"564","20","BC","1"
"565","19","BC","1"
"566","259","BC","1"
"567","22","BC","1"
"568","451","BC","1"
"569","402","BC","0"
"570","453","BC","1"
"571","401","BC","1"
"572","399","BC","0"
"573","398","BC","0"
"574","405","BC","1"
"575","452","BC","0"
"576","400","BC","1"
"577","406","BC","0"
"578","403","BC","1"
"579","404","BC","1"
"580","477","BC",NA
"581","478","BC","1"
"582","476","BC",NA
"583","179","QB",NA
"584","1442","QB",NA
"585","182","QB",NA
"586","180","QB",NA
"587","1440","QB",NA
"588","185","QB",NA
"589","183","QB",NA
"590","181","QB",NA
"591","186","QB",NA
"592","184","QB",NA
"593","1443","QB",NA
"594","980","QB",NA
"595","977","QB",NA
"596","979","QB",NA
"597","975","QB",NA
"598","673","QB",NA
"599","978","QB",NA
"600","667","QB",NA
"601","668","QB",NA
"602","976","QB",NA
"603","666","QB",NA
"604","876","QB",NA
"605","671","QB",NA
"606","672","QB",NA
"607","670","QB",NA
"608","669","QB",NA
"609","886","QB",NA
"610","560","QB",NA
"611","891","QB",NA
"612","558","QB",NA
"613","559","QB",NA
"614","890","QB",NA
"615","885","QB",NA
"616","557","QB",NA
"617","556","QB",NA
"618","889","QB",NA
"619","888","QB",NA
"620","887","QB",NA
"621","934","QB",NA
"622","932","QB",NA
"623","585","QB",NA
"624","931","QB",NA
"625","583","QB",NA
"626","581","QB",NA
"627","582","QB",NA
